,0%_equity,10%_equity,20%_equity,30%_equity,40%_equity,50%_equity,60%_equity,70%_equity,80%_equity,90%_equity,100%_equity
1_years,0.3372,0.2916,0.2528,0.2304,0.2164,0.2116,0.214,0.2192,0.2212,0.2248,0.2276
2_years,0.2852,0.2212,0.1816,0.156,0.142,0.1356,0.1368,0.1392,0.146,0.1512,0.1536
3_years,0.2332,0.1748,0.1308,0.0988,0.09,0.0876,0.0896,0.0912,0.0956,0.0968,0.1036
4_years,0.1948,0.1348,0.0956,0.074,0.062,0.0592,0.058,0.058,0.0624,0.0668,0.0696
5_years,0.1704,0.1148,0.0736,0.0584,0.0508,0.0436,0.042,0.0428,0.0432,0.046,0.048
6_years,0.1512,0.0908,0.0592,0.0404,0.0312,0.0264,0.0264,0.0272,0.026,0.028,0.032
7_years,0.1288,0.0756,0.038,0.0256,0.0204,0.0156,0.0164,0.0176,0.0176,0.018,0.0196
8_years,0.1092,0.0588,0.0296,0.0188,0.0124,0.0124,0.014,0.014,0.0148,0.0168,0.02
9_years,0.0948,0.0468,0.0232,0.0172,0.0128,0.0104,0.0108,0.0104,0.012,0.0136,0.0156
10_years,0.0892,0.036,0.02,0.0104,0.0072,0.006,0.0064,0.008,0.0104,0.0124,0.0136
